(IF1|IF2),CONNECTOR_9,-,538-95540-2881,$1.75 MOUSER 538-95540-2881,2,$1.75,538-95540-2881,2
(C1),CAPACITOR,47u,1210,$0.84 MOUSER 80-C1210C476M4P,1,$0.84,80-C1210C476M4P,1
(R2),RESISTOR,200,ACY400,$0.07 MOUSER 71-RN60D2260F/R,1,$0.07,71-RN60D2260F/R,1
(F1),CONNECTOR_2,-,JUMPER2,-,1,-,,1
(R1|R3|R4),RESISTOR,1k,ACY400,$0.10 MOUSER 71-CCF501K00FKE36,3,$0.10,71-CCF501K00FKE36,3
(U1|U2|U3),LCC110,-,DIP8,$4.41 MOUSER 849-LCC110,3,$4.41,849-LCC110,3
(R5),RESISTOR,1,0402,$0.10 MOUSER 71-CRCW0402-1-E3,1,$0.10,71-CRCW0402-1-E3,1
